datetime_EST,datetime_EST2,W9_Precipitation_mm,api_30d,Event
11/1/2018 14:00,2018-11-01T08:30:00Z,0.171,0.7754507470782116,8
11/1/2018 15:00,2018-11-01T09:30:00Z,1.115,0.8632676483197866,8
11/1/2018 16:00,2018-11-01T10:30:00Z,0.368,1.8891430670416438,8
11/1/2018 17:00,2018-11-01T11:30:00Z,0.263,2.0625907362868756,8
11/1/2018 18:00,2018-11-01T12:30:00Z,0.131,2.112040383434851,8
11/1/2018 19:00,2018-11-01T13:30:00Z,0.814,2.0318363450913655,8
11/1/2018 20:00,2018-11-01T14:30:00Z,0.63,2.6393038090784873,8
11/1/2018 21:00,2018-11-01T15:30:00Z,1.549,3.0003288803358874,8
11/1/2018 22:00,2018-11-01T16:30:00Z,3.414,4.209914606264624,8
11/1/2018 23:00,2018-11-01T17:30:00Z,1.392,7.178209100363709,8
11/2/2018 0:00,2018-11-01T18:30:00Z,1.863,7.842850179715414,8
11/2/2018 1:00,2018-11-01T19:30:00Z,1.004,8.908678249628208,8
11/2/2018 2:00,2018-11-01T20:30:00Z,0.886,9.021810424665388,8
11/2/2018 3:00,2018-11-01T21:30:00Z,1.254,9.001135919421674,8
11/2/2018 4:00,2018-11-01T22:30:00Z,0.647,9.355022327479508,8
11/2/2018 5:00,2018-11-01T23:30:00Z,0.251,9.063722278285393,8
11/2/2018 6:00,2018-11-02T00:30:00Z,1.269,8.408350050456853,8
11/2/2018 7:00,2018-11-02T01:30:00Z,0.502,8.8365150454111685,8
11/2/2018 8:00,2018-11-02T02:30:00Z,2.88,8.454863540870052,8
11/2/2018 9:00,2018-11-02T03:30:00Z,0.712,10.489377186783049,8
11/2/2018 10:00,2018-11-02T04:30:00Z,0.145,10.152439468104742,8
11/2/2018 11:00,2018-11-02T05:30:00Z,0.251,9.282195521294268,8
11/2/2018 12:00,2018-11-02T06:30:00Z,0.883,8.604975969164842,8
11/2/2018 13:00,2018-11-02T07:30:00Z,0.106,8.627478372248358,8
11/2/2018 14:00,2018-11-02T08:30:00Z,0.066,7.867932718577358,8
11/2/2018 15:00,2018-11-02T09:30:00Z,0,7.147139446719623,8
11/2/2018 21:00,2018-11-02T15:30:00Z,0,3.833647228081365,9
11/2/2018 22:00,2018-11-02T16:30:00Z,0.728,3.4030163637963624,9
11/2/2018 23:00,2018-11-02T17:30:00Z,1.982,3.775114781171447,9
11/3/2018 0:00,2018-11-02T18:30:00Z,2.854,5.3684544284279205,9
11/3/2018 1:00,2018-11-02T19:30:00Z,2.223,7.680055743851074,9
