site,event_n,recession_n,Start_dt_EST,End_dt_EST,datetime_interval_EST,event_dur_sec,event_dur_num,notes
TF-B,7,TFB_E7_3,2018-10-11 15:40:00,2018-10-11 17:00:00,2018-10-11 15:40:00 EST--2018-10-11 17:00:00 EST,4800s (~1.33 hours),4800,NA
TF-B,7,TFB_E7_4,2018-10-11 18:15:00,2018-10-11 19:35:00,2018-10-11 18:15:00 EST--2018-10-11 19:35:00 EST,4800s (~1.33 hours),4800,NA
TF-B,8,TFB_E8_1,2018-11-01 21:10:00,2018-11-02 09:40:00,2018-11-01 21:10:00 EST--2018-11-02 09:40:00 EST,45000s (~12.5 hours),45000,NA
TF-B,9,TFB_E9_1,2018-11-03 01:20:00,2018-11-03 03:40:00,2018-11-03 01:20:00 EST--2018-11-03 03:40:00 EST,8400s (~2.33 hours),8400,cut off
TF-B,9,TFB_E9_2,2018-11-03 12:00:00,2018-11-03 15:05:00,2018-11-03 12:00:00 EST--2018-11-03 15:05:00 EST,11100s (~3.08 hours),11100,NA
TF-D,1,TFD_E1_1,2018-07-26 11:55:00,2018-07-26 13:00:00,2018-07-26 11:55:00 EST--2018-07-26 13:00:00 EST,3900s (~1.08 hours),3900,NA
TF-D,1,TFD_E1_2,2018-07-26 13:30:00,2018-07-26 14:10:00,2018-07-26 13:30:00 EST--2018-07-26 14:10:00 EST,2400s (~40 minutes),2400,NA
TF-D,2,TFD_E2_1,2018-09-03 18:15:00,2018-09-03 19:30:00,2018-09-03 18:15:00 EST--2018-09-03 19:30:00 EST,4500s (~1.25 hours),4500,NA
TF-D,2,TFD_E2_2,2018-09-03 20:35:00,2018-09-03 21:05:00,2018-09-03 20:35:00 EST--2018-09-03 21:05:00 EST,1800s (~30 minutes),1800,NA
TF-D,3,TFD_E3_1,2018-09-11 01:05:00,2018-09-11 05:50:00,2018-09-11 01:05:00 EST--2018-09-11 05:50:00 EST,17100s (~4.75 hours),17100,NA
TF-D,4,TFD_E4_1,2018-09-21 08:15:00,2018-09-21 09:35:00,2018-09-21 08:15:00 EST--2018-09-21 09:35:00 EST,4800s (~1.33 hours),4800,NA
TF-D,4,TFD_E4_2,2018-09-21 10:15:00,2018-09-21 11:25:00,2018-09-21 10:15:00 EST--2018-09-21 11:25:00 EST,4200s (~1.17 hours),4200,NA
TF-D,4,TFD_E4_3,2018-09-21 22:30:00,2018-09-22 00:00:00,2018-09-21 22:30:00 EST--2018-09-22 00:00:00 EST,5400s (~1.5 hours),5400,NA
TF-D,5,TFD_E5_1,2018-09-25 10:55:00,2018-09-25 18:25:00,2018-09-25 10:55:00 EST--2018-09-25 18:25:00 EST,27000s (~7.5 hours),27000,NA
TF-D,5,TFD_E5_2,2018-09-26 16:35:00,2018-09-26 23:55:00,2018-09-26 16:35:00 EST--2018-09-26 23:55:00 EST,26400s (~7.33 hours),26400,NA
TF-D,6,TFD_E6_1,2018-10-02 00:05:00,2018-10-02 19:30:00,2018-10-02 00:05:00 EST--2018-10-02 19:30:00 EST,69900s (~19.42 hours),69900,NA
TF-D,7,TFD_E7_1,2018-10-11 06:00:00,2018-10-11 09:05:00,2018-10-11 06:00:00 EST--2018-10-11 09:05:00 EST,11100s (~3.08 hours),11100,NA
TF-D,7,TFD_E7_2,2018-10-11 11:30:00,2018-10-11 12:40:00,2018-10-11 11:30:00 EST--2018-10-11 12:40:00 EST,4200s (~1.17 hours),4200,NA
TF-D,7,TFD_E7_3,2018-10-11 15:50:00,2018-10-11 17:05:00,2018-10-11 15:50:00 EST--2018-10-11 17:05:00 EST,4500s (~1.25 hours),4500,NA
TF-D,7,TFD_E7_4,2018-10-11 18:30:00,2018-10-11 19:15:00,2018-10-11 18:30:00 EST--2018-10-11 19:15:00 EST,2700s (~45 minutes),2700,NA
TF-D,8,TFD_E8_1,2018-11-01 21:45:00,2018-11-02 11:05:00,2018-11-01 21:45:00 EST--2018-11-02 11:05:00 EST,48000s (~13.33 hours),48000,NA
TF-D,9,TFD_E9_1,2018-11-02 22:15:00,2018-11-03 03:35:00,2018-11-02 22:15:00 EST--2018-11-03 03:35:00 EST,19200s (~5.33 hours),19200,Cut off
TF-D,9,TFD_E9_2,2018-11-03 12:00:00,2018-11-03 13:30:00,2018-11-03 12:00:00 EST--2018-11-03 13:30:00 EST,5400s (~1.5 hours),5400,NA
