hobo_event_n,dt,site,yield_mm
1,2018-07-26T18:30:00Z,SFA,0.18536937163933564
1,2018-07-26T18:30:00Z,SFB,0.14144275150377356
1,2018-07-26T18:30:00Z,SFC,0.15262772665137223
1,2018-07-26T18:30:00Z,SFD,0.11564411166616914
1,2018-07-26T18:30:00Z,TFB,47.46308565063533
1,2018-07-26T18:30:00Z,TFD,47.01023194363495
1,2018-07-26T18:35:00Z,SFA,0.1918998404111721
1,2018-07-26T18:35:00Z,SFB,0.14582910046655914
1,2018-07-26T18:35:00Z,SFC,0.15954143385030772
1,2018-07-26T18:35:00Z,SFD,0.1198196297402294
1,2018-07-26T18:35:00Z,TFB,48.267863574658044
1,2018-07-26T18:35:00Z,TFD,47.80963945769016
1,2018-07-26T18:40:00Z,SFA,0.1975944081897841
1,2018-07-26T18:40:00Z,SFB,0.14994850846915936
1,2018-07-26T18:40:00Z,SFC,0.1659018119415595
1,2018-07-26T18:40:00Z,SFD,0.12303257438983223
1,2018-07-26T18:40:00Z,TFB,48.977571555235
1,2018-07-26T18:40:00Z,TFD,48.512427827228805
1,2018-07-26T18:45:00Z,SFA,0.20268374755937893
1,2018-07-26T18:45:00Z,SFB,0.15406232249198865
1,2018-07-26T18:45:00Z,SFC,0.17206999425801664
1,2018-07-26T18:45:00Z,SFD,0.12494144061157723
1,2018-07-26T18:45:00Z,TFB,49.62369623507324
1,2018-07-26T18:45:00Z,TFD,49.15972330910781
1,2018-07-26T18:50:00Z,SFA,0.20790234807427188
1,2018-07-26T18:50:00Z,SFB,0.1583031702775547
1,2018-07-26T18:50:00Z,SFC,0.17851966141755035
1,2018-07-26T18:50:00Z,SFD,0.12632460879501814
1,2018-07-26T18:50:00Z,TFB,50.27879330769706
1,2018-07-26T18:50:00Z,TFD,49.84536181784908
1,2018-07-26T18:55:00Z,SFA,0.21284688371830743
1,2018-07-26T18:55:00Z,SFB,0.16239522579896815
1,2018-07-26T18:55:00Z,SFC,0.1847862477767495
1,2018-07-26T18:55:00Z,SFD,0.12727976469410815
1,2018-07-26T18:55:00Z,TFB,50.89539224444053
1,2018-07-26T18:55:00Z,TFD,50.504051385958505
1,2018-07-26T19:00:00Z,SFA,0.21711402847533007
1,2018-07-26T19:00:00Z,SFB,0.16606266302933945
1,2018-07-26T19:00:00Z,SFC,0.19040518769220305
1,2018-07-26T19:00:00Z,SFD,0.12790459406280044
1,2018-07-26T19:00:00Z,TFB,51.42602251663771
1,2018-07-26T19:00:00Z,TFD,51.070500045941955
1,2018-07-26T19:05:00Z,SFA,0.22030045632918438
1,2018-07-26T19:05:00Z,SFB,0.1690296559417792
1,2018-07-26T19:05:00Z,SFC,0.19491191552049975
1,2018-07-26T19:05:00Z,SFD,0.1282967826550482
1,2018-07-26T19:05:00Z,TFB,51.823213595622676
1,2018-07-26T19:05:00Z,TFD,51.479415830305314
1,2018-07-26T19:10:00Z,SFA,0.221500052843689
1,2018-07-26T19:10:00Z,SFB,0.1711132504612207
1,2018-07-26T19:10:00Z,SFC,0.19789683160639931
1,2018-07-26T19:10:00Z,SFD,0.12738531316137325
1,2018-07-26T19:10:00Z,TFB,51.97442026251804
1,2018-07-26T19:10:00Z,TFD,51.63234095932506
1,2018-07-26T19:15:00Z,SFA,0.22126352141232042
1,2018-07-26T19:15:00Z,SFB,0.17259343057560725
1,2018-07-26T19:15:00Z,SFC,0.19985422812391537
1,2018-07-26T19:15:00Z,SFD,0.12532847692264618
1,2018-07-26T19:15:00Z,TFB,51.94545457329855
1,2018-07-26T19:15:00Z,TFD,51.610029068513946
1,2018-07-26T19:20:00Z,SFA,0.22137276276341022
1,2018-07-26T19:20:00Z,SFB,0.17388877735256475
1,2018-07-26T19:20:00Z,SFC,0.2016753771735179
1,2018-07-26T19:20:00Z,SFD,0.12406792266834335
1,2018-07-26T19:20:00Z,TFB,51.95638191157656
1,2018-07-26T19:20:00Z,TFD,51.61600531323228
1,2018-07-26T19:25:00Z,SFA,0.2215966457324982
1,2018-07-26T19:25:00Z,SFB,0.17469545201907322
1,2018-07-26T19:25:00Z,SFC,0.20290778777119184
1,2018-07-26T19:25:00Z,SFD,0.12420696394987404
1,2018-07-26T19:25:00Z,TFB,51.99746756290471
1,2018-07-26T19:25:00Z,TFD,51.61854042299657
1,2018-07-26T19:30:00Z,SFA,0.22114327421620703
1,2018-07-26T19:30:00Z,SFB,0.17487859322061092
1,2018-07-26T19:30:00Z,SFC,0.2032247305624784
1,2018-07-26T19:30:00Z,SFD,0.12471700318885268
1,2018-07-26T19:30:00Z,TFB,51.96599086227562
1,2018-07-26T19:30:00Z,TFD,51.52660339121665
1,2018-07-26T19:35:00Z,SFA,0.2209534015344925
1,2018-07-26T19:35:00Z,SFB,0.17511024815255125
1,2018-07-26T19:35:00Z,SFC,0.2037061200921822
1,2018-07-26T19:35:00Z,SFD,0.12509182242006334
1,2018-07-26T19:35:00Z,TFB,51.94253826746155
1,2018-07-26T19:35:00Z,TFD,51.454766769092814
1,2018-07-26T19:40:00Z,SFA,0.22345347038193414
1,2018-07-26T19:40:00Z,SFB,0.17731639264740942
1,2018-07-26T19:40:00Z,SFC,0.20664602034157672
1,2018-07-26T19:40:00Z,SFD,0.12668131977745575
1,2018-07-26T19:40:00Z,TFB,52.468128598154436
1,2018-07-26T19:40:00Z,TFD,51.9806995599774
1,2018-07-26T19:45:00Z,SFA,0.22862159726637896
1,2018-07-26T19:45:00Z,SFB,0.18151742960482714
1,2018-07-26T19:45:00Z,SFC,0.21191890742633746
1,2018-07-26T19:45:00Z,SFD,0.13001885667672738
1,2018-07-26T19:45:00Z,TFB,53.60745075988879
1,2018-07-26T19:45:00Z,TFD,53.15757265061007
1,2018-07-26T19:50:00Z,SFA,0.23372604622768414
1,2018-07-26T19:50:00Z,SFB,0.18552704682086738
1,2018-07-26T19:50:00Z,SFC,0.21697531409287207
1,2018-07-26T19:50:00Z,SFD,0.1333734100752839
1,2018-07-26T19:50:00Z,TFB,54.726596339200825
1,2018-07-26T19:50:00Z,TFD,54.31321141727209
1,2018-07-26T19:55:00Z,SFA,0.2360350813057069
1,2018-07-26T19:55:00Z,SFB,0.18715893209159304
1,2018-07-26T19:55:00Z,SFC,0.2192657730875882
1,2018-07-26T19:55:00Z,SFD,0.13501395693053092
1,2018-07-26T19:55:00Z,TFB,55.19165692262675
1,2018-07-26T19:55:00Z,TFD,54.77544123624472
1,2018-07-26T20:00:00Z,SFA,0.23281696654030448
1,2018-07-26T20:00:00Z,SFB,0.18422677321306705
1,2018-07-26T20:00:00Z,SFC,0.21624081715689347
1,2018-07-26T20:00:00Z,SFD,0.13320947419987417
1,2018-07-26T20:00:00Z,TFB,54.36872409670278
1,2018-07-26T20:00:00Z,TFD,53.87208748380919
1,2018-07-26T20:05:00Z,SFA,0.22438502005778346
1,2018-07-26T20:05:00Z,SFB,0.17695071065743906
1,2018-07-26T20:05:00Z,SFC,0.20814268619904547
1,2018-07-26T20:05:00Z,SFD,0.1281193679521145
1,2018-07-26T20:05:00Z,TFB,52.2492504042752
1,2018-07-26T20:05:00Z,TFD,51.64597036555263
1,2018-07-26T20:10:00Z,SFA,0.21332731507762495
1,2018-07-26T20:10:00Z,SFB,0.16742263090074055
1,2018-07-26T20:10:00Z,SFC,0.19741345796588036
1,2018-07-26T20:10:00Z,SFD,0.12140429721909286
1,2018-07-26T20:10:00Z,TFB,49.45971502451583
1,2018-07-26T20:10:00Z,TFD,48.747786363645844
1,2018-07-26T20:15:00Z,SFA,0.20032424827944803
1,2018-07-26T20:15:00Z,SFB,0.15626384074485752
1,2018-07-26T20:15:00Z,SFC,0.18480342198417396
1,2018-07-26T20:15:00Z,SFD,0.11358511840277508
1,2018-07-26T20:15:00Z,TFB,46.31874949844919
