dt,site,site2,yield_mm,hobo_event_n,recession_n
2018-09-27T03:15:00Z,TF-D,TF,34.20258080793946,5,TFD_E5_2
2018-09-27T03:20:00Z,TF-D,TF,34.20258080793946,5,TFD_E5_2
2018-09-27T03:25:00Z,TF-D,TF,33.795407226892564,5,TFD_E5_2
2018-09-27T03:30:00Z,TF-D,TF,33.795407226892564,5,TFD_E5_2
2018-09-27T03:35:00Z,TF-D,TF,34.20258080793946,5,TFD_E5_2
2018-09-27T03:40:00Z,TF-D,TF,34.406167598462915,5,TFD_E5_2
2018-09-27T03:45:00Z,TF-D,TF,33.99899401741602,5,TFD_E5_2
2018-09-27T03:50:00Z,TF-D,TF,33.59182043636912,5,TFD_E5_2
2018-09-27T03:55:00Z,TF-D,TF,33.99899401741602,5,TFD_E5_2
2018-09-27T04:00:00Z,TF-D,TF,33.99899401741602,5,TFD_E5_2
2018-09-27T04:05:00Z,TF-D,TF,34.406167598462915,5,TFD_E5_2
2018-09-27T04:10:00Z,TF-D,TF,34.406167598462915,5,TFD_E5_2
2018-09-27T04:15:00Z,TF-D,TF,34.406167598462915,5,TFD_E5_2
2018-09-27T04:20:00Z,TF-D,TF,34.60975438898636,5,TFD_E5_2
2018-09-27T04:25:00Z,TF-D,TF,34.60975438898636,5,TFD_E5_2
2018-09-27T04:30:00Z,TF-D,TF,33.99899401741602,5,TFD_E5_2
2018-09-27T04:35:00Z,TF-D,TF,34.406167598462915,5,TFD_E5_2
2018-09-27T04:40:00Z,TF-D,TF,33.99899401741602,5,TFD_E5_2
2018-09-27T04:45:00Z,TF-D,TF,34.20258080793946,5,TFD_E5_2
2018-09-27T04:50:00Z,TF-D,TF,34.406167598462915,5,TFD_E5_2
2018-09-27T04:55:00Z,TF-D,TF,34.60975438898636,5,TFD_E5_2
2018-10-02T05:05:00Z,TF-D,TF,-0.8143471620937967,6,TFD_E6_1
2018-10-02T05:10:00Z,TF-D,TF,0.20358679052344916,6,TFD_E6_1
2018-10-02T05:15:00Z,TF-D,TF,1.017933952617246,6,TFD_E6_1
2018-10-02T05:20:00Z,TF-D,TF,1.8322811147110425,6,TFD_E6_1
2018-10-02T05:25:00Z,TF-D,TF,1.8322811147110425,6,TFD_E6_1
2018-10-02T05:30:00Z,TF-D,TF,1.8322811147110425,6,TFD_E6_1
2018-10-02T05:35:00Z,TF-D,TF,2.4430414862813903,6,TFD_E6_1
2018-10-02T05:40:00Z,TF-D,TF,2.239454695757941,6,TFD_E6_1
2018-10-02T05:45:00Z,TF-D,TF,2.4430414862813903,6,TFD_E6_1
2018-10-02T05:50:00Z,TF-D,TF,2.6466282768048393,6,TFD_E6_1
2018-10-02T05:55:00Z,TF-D,TF,2.4430414862813903,6,TFD_E6_1
2018-10-02T06:00:00Z,TF-D,TF,2.6466282768048393,6,TFD_E6_1
2018-10-02T06:05:00Z,TF-D,TF,3.2573886483751866,6,TFD_E6_1
